SRF034.B,SRF035.B,SRF036.B,SRF037.B,SRF038.B,SRF039.B,SRF061.B,SRF062.B,SRF063.B,SRF064.B,SRF019.B,SRF020.B,SRF021.B,SRF022.B,SRF023.B,SRF024.B,SRF025.B,SRF026.B,SRF027.B,SRF028.B,SRF029.B,SRF030.B,SRF031.B,SRF032.B,SRF033.B,SRF072.B,SRF073.B,SRF065.B,SRF066.B,SRF067.B,SRF068.B,SRF069.B,SRF070.B,SRF071.B,SRF001.B,SRF002.B,SRF003.B,SRF004.B,SRF005.B,SRF006.B,SRF007.B,SRF008.B,SRF009.B,SRF010.B,SRF011.B,SRF012.B,SRF013.B,SRF014.B,SRF015.B,SRF016.B,SRF017.B,SRF018.B,L9,L10,L7,L4
7,7,7,7,7,7,7,2,1,7,7,7,7,7,5,7,7,2,6,6,7,7,7,6,7,90,4,5,7,5,1,6,7,2,6,6,3,5,6,3,6,1,1,6,5,6,6,6,1,6,6,2,0.25889720233035995,0.09056418720802573,0.24867894373898486,0.11217672695564458
7,7,7,7,7,7,1,1,1,4,7,7,5,7,7,7,7,6,7,7,7,7,7,7,7,98,4,1,6,1,1,1,6,1,4,6,5,6,1,1,6,1,1,6,4,6,6,6,1,6,6,6,0.4196913345450575,0.15054106802498085,0.2737840173470298,0.17237139637807386
7,7,7,6,5,6,7,1,1,7,6,5,5,5,5,6,6,5,7,2,5,2,4,2,7,77,5,1,4,2,3,2,7,1,3,3,3,5,1,3,5,1,1,5,6,2,6,6,1,2,4,4,0.056367024454994474,-0.005584770699544869,0.12052573615614634,0.019084420680025492
6,7,7,7,7,7,2,1,2,7,6,7,4,6,2,7,6,4,5,3,7,4,7,7,2,80,6,1,3,2,5,4,6,2,5,5,4,6,5,3,5,2,1,4,5,6,5,5,1,5,4,4,0.1392283428980147,0.10286694537307284,0.04338613345273577,0.059653405265401825
7,7,7,7,7,7,1,7,1,7,7,7,7,7,7,7,7,1,1,7,7,7,7,1,7,40,4,1,1,1,1,7,1,1,6,6,3,3,6,5,6,1,1,6,6,6,6,6,1,1,5,6,0.05447962522770026,0.030489418383265954,0.1584778745100091,0.06269782791486114
7,6,7,7,7,7,4,4,4,4,7,5,3,5,6,5,7,6,7,2,6,2,5,6,4,50,4,1,7,7,7,2,7,1,6,4,3,6,6,1,6,5,1,6,3,5,6,6,1,6,4,6,0.060035076377408,0.07800638958186296,0.030128699243057045,0.08228519999451166
7,7,7,7,7,7,7,7,3,7,7,7,3,4,3,7,3,3,3,2,7,7,7,3,6,60,4,7,6,7,7,3,3,3,6,6,5,6,5,5,5,3,6,5,6,6,3,6,3,2,6,4,0.07064701221958829,0.044612000512057166,0.21125541239847173,0.037114193281702075
6,6,5,6,6,6,4,4,4,4,6,2,5,2,2,5,2,1,1,6,6,2,5,6,3,30,3,7,4,7,7,7,7,1,4,6,3,2,6,4,5,2,6,6,6,4,6,6,4,1,5,1,-0.33212413123209494,-0.08944587808457585,-0.10608052624506001,-0.04007165729996889
4,4,4,4,4,3,5,3,3,5,5,6,4,1,6,4,4,4,5,4,6,4,4,4,2,50,5,3,5,5,1,3,3,5,4,2,4,4,4,5,3,3,4,1,1,4,4,3,4,4,4,4,-0.2577446167342764,-0.07101177909756493,-0.21176248094861955,-0.14313807629364278
7,7,7,7,7,7,7,5,1,7,7,7,7,7,7,7,4,4,7,7,7,7,7,3,7,85,5,6,5,5,6,1,7,7,1,3,3,3,6,1,6,5,1,6,6,6,6,6,1,6,6,4,0.26954584082595845,0.0314419138860841,0.2238434263903014,0.044889577233109476
5,4,6,5,6,5,5,5,4,6,6,7,6,7,6,7,7,7,7,5,7,6,5,5,4,50,6,2,6,2,4,2,6,6,4,5,4,6,3,4,6,5,4,5,4,5,4,5,2,4,5,5,0.17964122474703942,0.05283171824170705,0.12912285973339768,0.028988813236947193
6,6,6,6,6,7,7,4,1,6,5,7,7,7,7,6,6,5,6,7,7,7,7,7,6,100,6,1,7,1,1,2,7,4,6,6,5,5,1,1,5,1,1,3,3,6,4,4,1,4,3,3,0.3559547124528676,0.13460691860552537,0.1739530884075331,0.10118920423056374
7,6,4,6,7,7,4,4,4,4,6,4,6,7,7,7,7,5,7,7,7,7,7,3,4,99,7,1,7,1,1,1,7,1,4,6,5,6,1,1,6,4,1,6,1,1,6,6,3,1,6,6,0.2880215174837385,0.07291322581292255,0.15150332590651344,0.10765347007185914
6,4,5,4,4,4,2,5,1,4,4,7,4,4,3,5,4,4,6,4,4,1,1,1,6,60,4,5,5,5,5,5,1,1,5,6,5,5,4,3,6,6,3,4,4,6,2,6,4,6,1,6,-0.07174993742958932,-0.035802377645557944,0.0761734282144783,-0.02995778269527946
3,4,5,4,4,4,7,5,3,4,4,5,5,3,4,5,5,4,7,5,5,6,5,5,4,54,4,3,7,4,5,4,5,1,5,4,4,2,1,3,3,3,4,5,6,5,3,4,3,4,5,4,-0.05634151962373803,-0.009022564763415569,-0.05157208220706955,-0.017503295257348287
7,5,7,5,1,7,7,1,1,7,7,7,1,7,6,7,7,1,7,4,7,1,7,1,1,50,4,7,1,1,1,1,5,7,5,1,1,6,5,6,6,1,6,6,6,6,3,6,1,6,6,6,-0.2062688502275162,-0.05332638837880242,-0.16994431777424648,-0.04333792006739807
6,4,7,6,6,6,1,7,1,4,1,4,4,1,5,4,7,1,4,6,4,5,3,3,4,50,4,5,3,6,5,1,4,1,5,1,2,6,5,5,2,3,4,3,5,1,5,4,4,5,6,6,-0.33190116462328356,-0.059635552660492905,-0.2761562613915531,-0.05586596349947263
6,6,6,7,6,6,5,5,2,6,5,5,4,5,4,5,3,6,5,5,5,3,4,3,3,75,4,4,5,4,5,3,3,6,3,4,3,3,4,4,2,3,4,5,6,3,3,4,3,2,3,2,-0.0224573305012949,-0.05419137890427929,-0.014390358565600734,-0.03161641372944837
7,7,7,6,7,6,1,1,6,2,2,2,2,2,1,2,1,1,1,2,4,2,4,2,2,30,2,7,6,7,6,2,1,7,4,2,1,5,6,5,2,5,5,1,5,3,1,4,1,6,5,1,-0.5082445395001132,-0.20408698304465092,-0.3605739246235714,-0.15509465812344397
7,7,7,6,7,6,5,7,3,7,5,6,6,5,7,6,6,3,5,4,6,6,5,5,6,65,7,4,5,6,6,4,3,4,5,4,5,3,4,1,4,2,4,6,4,5,1,5,3,2,2,5,0.12289410956254135,0.060047921001354254,0.1320787245579595,0.06148502722297985
7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,90,7,1,7,1,1,1,7,1,6,6,5,6,5,1,6,1,1,6,5,6,6,6,1,5,5,5,0.46040786762650765,0.1820503116303424,0.30541961201816975,0.18147568194513305
4,5,6,6,6,6,4,5,5,6,5,6,5,6,1,5,3,5,5,3,4,3,3,6,4,35,4,6,6,7,5,4,3,3,3,3,2,3,5,3,4,3,4,4,5,4,2,4,3,4,3,2,-0.08750437963551631,-0.023367294179599398,-0.1166468605177567,-0.018132745324583744
7,7,1,7,7,7,1,1,1,1,5,7,7,5,6,7,7,6,7,7,7,7,7,7,1,60,7,1,7,1,7,1,1,1,6,6,5,5,6,1,6,1,1,5,1,6,4,6,4,5,5,6,0.21165506528788652,0.11509938214324529,0.034326413764626106,0.0974507705325456
5,6,6,6,6,6,5,5,7,5,5,4,3,3,3,3,2,2,3,3,5,3,3,5,3,60,3,6,5,5,5,5,3,5,1,1,1,4,5,4,4,4,3,3,5,5,3,4,4,4,5,4,-0.3057119954120665,-0.09171698620087801,-0.2696462474933725,-0.07552154862715202
7,3,4,3,4,4,1,1,1,1,5,5,4,5,4,4,3,3,3,3,5,3,3,3,3,60,4,6,5,6,5,1,5,6,4,2,1,5,3,4,2,5,4,1,2,3,3,3,4,4,4,1,-0.22845544015345753,-0.14308655452955038,-0.2726944481380221,-0.12790775080283995
4,4,4,4,4,4,4,4,4,4,4,7,7,4,4,5,7,3,4,3,6,3,4,3,4,90,6,4,4,4,4,4,4,4,6,3,3,5,5,4,5,3,6,4,4,2,5,5,4,3,6,3,-0.07828915137104539,-0.04395818709059979,-0.025179086320935108,-0.060117906714476775
7,7,7,7,7,7,7,7,6,7,1,7,1,7,7,7,7,2,1,1,7,1,1,7,7,80,4,7,7,7,7,6,7,1,1,6,6,1,2,5,6,1,1,1,1,6,3,6,6,1,6,1,0.01008579762714602,0.042560706665632844,0.11928782401455806,-0.04184184441384593
